name	kind	expansion	primary
\alef	alias	\aleph	\aleph
\alefsym	alias	\aleph	\aleph
\angln	construct	{\angl n}	
\approxcolon	construct	\mathrel{\approx\mathrel{\mkern-1.2mu}\vcentcolon}	
\approxcoloncolon	construct	\mathrel{\approx\mathrel{\mkern-1.2mu}\dblcolon}	
\argmax	operator	\DOTSB\operatorname*{arg\,max}	
\argmin	operator	\DOTSB\operatorname*{arg\,min}	
\bgroup	construct	{	
\blue	construct	\textcolor{##6495ed}{#1}	
\blueA	construct	\textcolor{##ccfaff}{#1}	
\blueB	construct	\textcolor{##80f6ff}{#1}	
\blueC	construct	\textcolor{##63d9ea}{#1}	
\blueD	construct	\textcolor{##11accd}{#1}	
\blueE	construct	\textcolor{##0c7f99}{#1}	
\bmod	construct	\mathchoice{\mskip1mu}{\mskip1mu}{\mskip5mu}{\mskip5mu}\mathbin{\rm mod}\mathchoice{\mskip1mu}{\mskip1mu}{\mskip5mu}{\mskip5mu}	
\boxed	construct	\fbox{$\displaystyle{#1}$}	
\bra	construct	\mathinner{\langle{#1}|}	
\bra@ket			
\bra@set			
\braket	construct	\mathinner{\langle{#1}\rangle}	
\bull	alias	\bullet	\bullet
\cdots	contextual		
\char	contextual		
\clap	construct	\mathclap{\textrm{#1}}	
\clubs	alias	\clubsuit	\clubsuit
\cnums	construct	\mathbb{C}	
\colon	construct	\nobreak\mskip2mu\mathpunct{}\mathchoice{\mkern-3mu}{\mkern-3mu}{}{}{:}\mskip6mu\relax	
\colonapprox	operator	\html@mathml{\mathrel{\vcentcolon\mathrel{\mkern-1.2mu}\approx}}{\mathop{\char"3a\char"2248}}	
\coloncolon	alias	\dblcolon	\dblcolon
\coloncolonapprox	alias	\Colonapprox	\Colonapprox
\coloncolonequals	alias	\Coloneqq	\Coloneqq
\coloncolonminus	alias	\Coloneq	\Coloneq
\coloncolonsim	alias	\Colonsim	\Colonsim
\coloneq	operator	\html@mathml{\mathrel{\vcentcolon\mathrel{\mkern-1.2mu}\mathrel{-}}}{\mathop{\char"3a\char"2212}}	
\coloneqq	operator	\html@mathml{\mathrel{\vcentcolon\mathrel{\mkern-1.2mu}=}}{\mathop{\char"2254}}	
\colonequals	alias	\coloneqq	\coloneqq
\colonminus	alias	\coloneq	\coloneq
\colonsim	operator	\html@mathml{\mathrel{\vcentcolon\mathrel{\mkern-1.2mu}\sim}}{\mathop{\char"3a\char"223c}}	
\copyright	construct	\TextOrMath{\textcopyright}{\text{\textcopyright}}	
\dArr	alias	\Downarrow	\Downarrow
\darr	alias	\downarrow	\downarrow
\dblcolon	operator	\html@mathml{\mathrel{\vcentcolon\mathrel{\mkern-.9mu}\vcentcolon}}{\mathop{\char"2237}}	
\ddddot	construct	{\overset{\raisebox{-0.1ex}{\normalsize ....}}{#1}}	
\dddot	construct	{\overset{\raisebox{-0.1ex}{\normalsize ...}}{#1}}	
\diamonds	alias	\diamondsuit	\diamondsuit
\dots	contextual		
\dotsb	alias	\cdots	\cdots
\dotsc	contextual		
\dotsi	construct	\!\cdots	
\dotsm	alias	\cdots	\cdots
\dotso	contextual		
\dotsx	construct	\ldots\,	
\egroup	construct	}	
\empty	alias	\emptyset	\emptyset
\enskip	construct	\hskip.5em\relax	
\enspace	construct	\kern.5em 	
\eqcolon	operator	\html@mathml{\mathrel{\mathrel{-}\mathrel{\mkern-1.2mu}\vcentcolon}}{\mathop{\char"2239}}	
\eqqcolon	operator	\html@mathml{\mathrel{=\mathrel{\mkern-1.2mu}\vcentcolon}}{\mathop{\char"2255}}	
\equalscolon	alias	\eqqcolon	\eqqcolon
\equalscoloncolon	alias	\Eqqcolon	\Eqqcolon
\errmessage	contextual		
\exist	alias	\exists	\exists
\expandafter	contextual		
\goldA	construct	\textcolor{##ffd0a9}{#1}	
\goldB	construct	\textcolor{##ffbb71}{#1}	
\goldC	construct	\textcolor{##ff9c39}{#1}	
\goldD	construct	\textcolor{##e07d10}{#1}	
\goldE	construct	\textcolor{##a75a05}{#1}	
\gray	construct	\textcolor{gray}{#1}	
\grayA	construct	\textcolor{##f6f7f7}{#1}	
\grayB	construct	\textcolor{##f0f1f2}{#1}	
\grayC	construct	\textcolor{##e3e5e6}{#1}	
\grayD	construct	\textcolor{##d6d8da}{#1}	
\grayE	construct	\textcolor{##babec2}{#1}	
\grayF	construct	\textcolor{##888d93}{#1}	
\grayG	construct	\textcolor{##626569}{#1}	
\grayH	construct	\textcolor{##3b3e40}{#1}	
\grayI	construct	\textcolor{##21242c}{#1}	
\green	construct	\textcolor{##28ae7b}{#1}	
\greenA	construct	\textcolor{##b6ffb0}{#1}	
\greenB	construct	\textcolor{##8af281}{#1}	
\greenC	construct	\textcolor{##74cf70}{#1}	
\greenD	construct	\textcolor{##1fab54}{#1}	
\greenE	construct	\textcolor{##0d923f}{#1}	
\gvertneqq	construct	\html@mathml{\@gvertneqq}{≩}	
\hArr	alias	\Leftrightarrow	\Leftrightarrow
\harr	alias	\leftrightarrow	\leftrightarrow
\hearts	alias	\heartsuit	\heartsuit
\hspace	construct	\@ifstar\@hspacer\@hspace	
\iff	construct	\DOTSB\;\Longleftrightarrow\;	
\image	alias	\Im	\Im
\imath	construct	\html@mathml{\@imath}{ı}	
\impliedby	construct	\DOTSB\;\Longleftarrow\;	
\implies	construct	\DOTSB\;\Longrightarrow\;	
\infin	alias	\infty	\infty
\injlim	operator	\DOTSB\operatorname*{inj\,lim}	
\isin	alias	\in	\in
\jmath	construct	\html@mathml{\@jmath}{ȷ}	
\kaBlue	construct	\textcolor{##314453}{#1}	
\kaGreen	construct	\textcolor{##71B307}{#1}	
\ket	construct	\mathinner{|{#1}\rangle}	
\lArr	alias	\Leftarrow	\Leftarrow
\lBrace	construct	\html@mathml{\mathopen{\{\mkern-3.2mu[}}{\mathopen{\char`⦃}}	
\lang	alias	\langle	\langle
\larr	alias	\leftarrow	\leftarrow
\liminf	operator	\DOTSB\operatorname*{lim\,inf}	
\limsup	operator	\DOTSB\operatorname*{lim\,sup}	
\llap	construct	\mathllap{\textrm{#1}}	
\llbracket	construct	\html@mathml{\mathopen{[\mkern-3.2mu[}}{\mathopen{\char`⟦}}	
\llcorner	operator	\html@mathml{\@llcorner}{\mathop{\char"231e}}	
\lq	construct	`	
