command	kind	mode	codepoint	name	meaning	role	font	katex	source	note
\oiiintop	symbol	math	U+2230	oiiintop	triple-contour-integral	INTOP		\oiiint	lib/LaTeXML/Package/txfonts.sty.ltxml:96	
\oiint	symbol	math	U+222F	oiint	double-contour-integral	INTOP		\oiint	lib/LaTeXML/Package/txfonts.sty.ltxml:124	
\oiintclockwise	symbol	math	U+222C U+20D9	oiintclockwise	double-clockwise-contour-integral	INTOP			lib/LaTeXML/Package/txfonts.sty.ltxml:99	
\oiintclockwiseop	symbol	math	U+222C U+20D9	oiintclockwiseop	double-clockwise-contour-integral	INTOP			lib/LaTeXML/Package/txfonts.sty.ltxml:102	
\oiintctrclockwise	symbol	math	U+222C U+20DA	oiintctrclockwise	double-counterclockwise-contour-integral	INTOP			lib/LaTeXML/Package/txfonts.sty.ltxml:111	
\oiintctrclockwiseop	symbol	math	U+222C U+20DA	oiintctrclockwiseop	double-counterclockwise-contour-integral	INTOP			lib/LaTeXML/Package/txfonts.sty.ltxml:114	
\oiintop	symbol	math	U+222F	oiintop	double-contour-integral	INTOP		\oiint	lib/LaTeXML/Package/txfonts.sty.ltxml:126	
\ointclockwise	symbol	math	U+2232	ointclockwise	clockwise-contour-integral	INTOP			lib/LaTeXML/Package/txfonts.sty.ltxml:128	
\ointclockwiseop	symbol	math	U+2232	ointclockwiseop	clockwise-contour-integral	INTOP			lib/LaTeXML/Package/txfonts.sty.ltxml:130	
\ointctrclockwise	symbol	math	U+2233	ointctrclockwise	counter-clockwise-contour-integral	INTOP			lib/LaTeXML/Package/txfonts.sty.ltxml:132	
\ointctrclockwiseop	symbol	math	U+2233	ointctrclockwiseop	counter-clockwise-contour-integral	INTOP			lib/LaTeXML/Package/txfonts.sty.ltxml:134	
\omegaup	symbol	math	U+03C9	omegaup				\omega	lib/LaTeXML/Package/txfonts.sty.ltxml:361	
\phiup	symbol	math	U+03D5	phiup				\phi	lib/LaTeXML/Package/txfonts.sty.ltxml:357	
\piup	symbol	math	U+03C0	piup				\pi	lib/LaTeXML/Package/txfonts.sty.ltxml:349	
\preceqq	symbol	math	U+2AB3	preceqq	precedes-or-equals	RELOP			lib/LaTeXML/Package/txfonts.sty.ltxml:292	
\precneqq	symbol	math	U+2AB5	precneqq	precedes-and-not-equals	RELOP		\precneqq	lib/LaTeXML/Package/txfonts.sty.ltxml:294	
\psiup	symbol	math	U+03C8	psiup				\psi	lib/LaTeXML/Package/txfonts.sty.ltxml:360	
\rJoin	symbol	math	U+22CA	rJoin	right-normal-factor-semidirect-product	RELOP		\rtimes	lib/LaTeXML/Package/txfonts.sty.ltxml:296	
\rhoup	symbol	math	U+03C1	rhoup				\rho	lib/LaTeXML/Package/txfonts.sty.ltxml:351	
\rrbracket	symbol	math	U+27E7	rrbracket		CLOSE		\rrbracket	lib/LaTeXML/Package/txfonts.sty.ltxml:398	
\sigmaup	symbol	math	U+03C3	sigmaup				\sigma	lib/LaTeXML/Package/txfonts.sty.ltxml:353	
\sqint	symbol	math	U+2A16	sqint	square-contour-integral	INTOP			lib/LaTeXML/Package/txfonts.sty.ltxml:147	
\strictfi	symbol	math	U+297C	strictfi		RELOP			lib/LaTeXML/Package/txfonts.sty.ltxml:300	
\strictif	symbol	math	U+297D	strictif		RELOP			lib/LaTeXML/Package/txfonts.sty.ltxml:301	
\strictiff	symbol	math	U+297C U+297D	strictiff		RELOP			lib/LaTeXML/Package/txfonts.sty.ltxml:302	
\succeqq	symbol	math	U+2AB4	succeqq	succeeds-or-equals	RELOP			lib/LaTeXML/Package/txfonts.sty.ltxml:303	
\succneqq	symbol	math	U+2AB6	succneqq	succeeds-and-not-equals	RELOP		\succneqq	lib/LaTeXML/Package/txfonts.sty.ltxml:305	
\tauup	symbol	math	U+03C4	tauup				\tau	lib/LaTeXML/Package/txfonts.sty.ltxml:355	
\thetaup	symbol	math	U+03B8	thetaup				\theta	lib/LaTeXML/Package/txfonts.sty.ltxml:341	
\upsilonup	symbol	math	U+03C5	upsilonup				\upsilon	lib/LaTeXML/Package/txfonts.sty.ltxml:356	
\varclubsuit	symbol	math	U+2667	varclubsuit					lib/LaTeXML/Package/txfonts.sty.ltxml:391	
\vardiamondsuit	symbol	math	U+2666	vardiamondsuit					lib/LaTeXML/Package/txfonts.sty.ltxml:392	
\varepsilonup	symbol	math	U+03B5	varepsilonup				\varepsilon	lib/LaTeXML/Package/txfonts.sty.ltxml:338	
\varg	symbol	math	U+210A	varg					lib/LaTeXML/Package/txfonts.sty.ltxml:378	
\varheartsuit	symbol	math	U+2665	varheartsuit					lib/LaTeXML/Package/txfonts.sty.ltxml:393	
\varoiiintclockwise	symbol	math	U+222D U+20D9	varoiiintclockwise	triple-clockwise-contour-integral	INTOP			lib/LaTeXML/Package/txfonts.sty.ltxml:74	
\varoiiintclockwiseop	symbol	math	U+222D U+20D9	varoiiintclockwiseop	triple-clockwise-contour-integral	INTOP			lib/LaTeXML/Package/txfonts.sty.ltxml:77	
\varoiiintctrclockwise	symbol	math	U+222D U+20DA	varoiiintctrclockwise	triple-counterclockwise-contour-integral	INTOP			lib/LaTeXML/Package/txfonts.sty.ltxml:86	
\varoiiintctrclockwiseop	symbol	math	U+222D U+20DA	varoiiintctrclockwiseop	triple-counterclockwise-contour-integral	INTOP			lib/LaTeXML/Package/txfonts.sty.ltxml:89	
\varoiintclockwise	symbol	math	U+222C U+20D9	varoiintclockwise	double-clockwise-contour-integral	INTOP			lib/LaTeXML/Package/txfonts.sty.ltxml:105	
\varoiintclockwiseop	symbol	math	U+222C U+20D9	varoiintclockwiseop	double-clockwise-contour-integral	INTOP			lib/LaTeXML/Package/txfonts.sty.ltxml:108	
\varoiintctrclockwise	symbol	math	U+222C U+20DA	varoiintctrclockwise	double-counterclockwise-contour-integral	INTOP			lib/LaTeXML/Package/txfonts.sty.ltxml:117	
\varoiintctrclockwiseop	symbol	math	U+222C U+20DA	varoiintctrclockwiseop	double-counterclockwise-contour-integral	INTOP			lib/LaTeXML/Package/txfonts.sty.ltxml:120	
\varointclockwise	symbol	math	U+2232	varointclockwise	clockwise-contour-integral	INTOP			lib/LaTeXML/Package/txfonts.sty.ltxml:136	
\varointclockwiseop	symbol	math	U+2232	varointclockwiseop	clockwise-contour-integral	INTOP			lib/LaTeXML/Package/txfonts.sty.ltxml:138	
\varointctrclockwise	symbol	math	U+2233	varointctrclockwise	counter-clockwise-contour-integral	INTOP			lib/LaTeXML/Package/txfonts.sty.ltxml:140	
\varointctrclockwiseop	symbol	math	U+2233	varointctrclockwiseop	counter-clockwise-contour-integral	INTOP			lib/LaTeXML/Package/txfonts.sty.ltxml:142	
\varparallel	symbol	math	U+2AFD	varparallel		RELOP			lib/LaTeXML/Package/txfonts.sty.ltxml:308	
\varphiup	symbol	math	U+03C6	varphiup				\varphi	lib/LaTeXML/Package/txfonts.sty.ltxml:358	
\varpiup	symbol	math	U+03D6	varpiup				\varpi	lib/LaTeXML/Package/txfonts.sty.ltxml:350	
\varrhoup	symbol	math	U+03F1	varrhoup				\varrho	lib/LaTeXML/Package/txfonts.sty.ltxml:352	
\varsigmaup	symbol	math	U+03C2	varsigmaup				\varsigma	lib/LaTeXML/Package/txfonts.sty.ltxml:354	
\varspadesuit	symbol	math	U+2664	varspadesuit					lib/LaTeXML/Package/txfonts.sty.ltxml:394	
\varthetaup	symbol	math	U+03D1	varthetaup				\vartheta	lib/LaTeXML/Package/txfonts.sty.ltxml:342	
\xiup	symbol	math	U+03BE	xiup				\xi	lib/LaTeXML/Package/txfonts.sty.ltxml:348	
\zetaup	symbol	math	U+03B6	zetaup				\zeta	lib/LaTeXML/Package/txfonts.sty.ltxml:339	
