command	kind	mode	codepoint	name	meaning	role	font	katex	source	note
\bigsqcap	symbol	math	U+2A05	bigsqcap		SUMOP			lib/LaTeXML/Package/mathabx.sty.ltxml:563	
\bigstar	symbol	math	U+1F7CA	bigstar		MULOP		\bigstar	lib/LaTeXML/Package/mathabx.sty.ltxml:65	
\bigtimes	symbol	math	U+2A09	bigtimes	nary-times	BIGOP			lib/LaTeXML/Package/mathabx.sty.ltxml:555	
\bigvarstar	symbol	math	U+1F7CC	bigvarstar		MULOP			lib/LaTeXML/Package/mathabx.sty.ltxml:66	
\blackdiamond	symbol	math	U+25C6	blackdiamond		MULOP			lib/LaTeXML/Package/mathabx.sty.ltxml:63	
\blacktriangledown	symbol	math	U+25BE	blacktriangledown		RELOP		\blacktriangledown	lib/LaTeXML/Package/mathabx.sty.ltxml:329	
\blacktriangleleft	symbol	math	U+25C2	blacktriangleleft		RELOP		\blacktriangleleft	lib/LaTeXML/Package/mathabx.sty.ltxml:330	
\blacktriangleright	symbol	math	U+25B8	blacktriangleright		RELOP		\blacktriangleright	lib/LaTeXML/Package/mathabx.sty.ltxml:331	
\blacktriangleup	symbol	math	U+25B4	blacktriangleup		RELOP			lib/LaTeXML/Package/mathabx.sty.ltxml:328	
\botdoteq	symbol	math	U+2A66	botdoteq		RELOP			lib/LaTeXML/Package/mathabx.sty.ltxml:91	
\boxasterisk	symbol	math	U+29C6	boxasterisk					lib/LaTeXML/Package/mathabx.sty.ltxml:526	
\boxbackslash	symbol	math	U+29C4	boxbackslash					lib/LaTeXML/Package/mathabx.sty.ltxml:535	
\boxbot	symbol	math	U+22A5 U+20DE	boxbot		ADDOP			lib/LaTeXML/Package/mathabx.sty.ltxml:531	
\boxcirc	symbol	math	U+2218 U+20DE	boxcirc		ADDOP			lib/LaTeXML/Package/mathabx.sty.ltxml:525	
\boxdot	symbol	math	U+22A1	boxdot		MULOP		\boxdot	lib/LaTeXML/Package/mathabx.sty.ltxml:524	
\boxleft	symbol	math	U+22A3 U+20DE	boxleft		ADDOP			lib/LaTeXML/Package/mathabx.sty.ltxml:528	
\boxminus	symbol	math	U+229F	boxminus		ADDOP		\boxminus	lib/LaTeXML/Package/mathabx.sty.ltxml:521	
\boxplus	symbol	math	U+229E	boxplus		ADDOP		\boxplus	lib/LaTeXML/Package/mathabx.sty.ltxml:520	
\boxright	symbol	math	U+22A2 U+20DE	boxright		ADDOP			lib/LaTeXML/Package/mathabx.sty.ltxml:529	
\boxslash	symbol	math	U+29C5	boxslash					lib/LaTeXML/Package/mathabx.sty.ltxml:534	
\boxtimes	symbol	math	U+22A0	boxtimes		MULOP		\boxtimes	lib/LaTeXML/Package/mathabx.sty.ltxml:522	
\boxtop	symbol	math	U+22A4 U+20DE	boxtop		ADDOP			lib/LaTeXML/Package/mathabx.sty.ltxml:530	
\boxtriangleup	symbol	math	U+25B3 U+20DE	boxtriangleup		ADDOP			lib/LaTeXML/Package/mathabx.sty.ltxml:536	
\boxvoid	symbol	math	U+25A1	boxvoid					lib/LaTeXML/Package/mathabx.sty.ltxml:532	
\bumpedeq	symbol	math	U+224F	bumpedeq	difference-between	RELOP		\bumpeq	lib/LaTeXML/Package/mathabx.sty.ltxml:99	
\circeq	symbol	math	U+2257	circeq		RELOP		\circeq	lib/LaTeXML/Package/mathabx.sty.ltxml:102	
\circlearrowleft	symbol	math	U+21BA	circlearrowleft		ARROW		\circlearrowleft	lib/LaTeXML/Package/mathabx.sty.ltxml:488	
\circlearrowright	symbol	math	U+21BB	circlearrowright		ARROW		\circlearrowright	lib/LaTeXML/Package/mathabx.sty.ltxml:489	
\circplus	symbol	math	U+2A22	circplus		MULOP			lib/LaTeXML/Package/mathabx.sty.ltxml:59	
\coloneq	symbol	math	U+2254	coloneq		RELOP		\coloneq	lib/LaTeXML/Package/mathabx.sty.ltxml:97	
\complement	symbol	math	U+2201	complement	complement			\complement	lib/LaTeXML/Package/mathabx.sty.ltxml:215	
\convolution	symbol	math	U+2733	convolution		MULOP			lib/LaTeXML/Package/mathabx.sty.ltxml:61	
\corresponds	symbol	math	U+2258	corresponds	corresponds-to	RELOP			lib/LaTeXML/Package/mathabx.sty.ltxml:105	
\curlyeqprec	symbol	math	U+22DE	curlyeqprec	equals-or-preceeds	RELOP		\curlyeqprec	lib/LaTeXML/Package/mathabx.sty.ltxml:399	
\curlyeqsucc	symbol	math	U+22DF	curlyeqsucc	equals-or-succeeds	RELOP		\curlyeqsucc	lib/LaTeXML/Package/mathabx.sty.ltxml:400	
\curlyvee	symbol	math	U+22CE	curlyvee	or	ADDOP		\curlyvee	lib/LaTeXML/Package/mathabx.sty.ltxml:230	
\curlywedge	symbol	math	U+22CF	curlywedge	and	ADDOP		\curlywedge	lib/LaTeXML/Package/mathabx.sty.ltxml:229	
\curvearrowbotright	symbol	math	U+293B	curvearrowbotright		ARROW			lib/LaTeXML/Package/mathabx.sty.ltxml:486	
\curvearrowleft	symbol	math	U+21B6	curvearrowleft		ARROW		\curvearrowleft	lib/LaTeXML/Package/mathabx.sty.ltxml:482	
\curvearrowright	symbol	math	U+21B7	curvearrowright		ARROW		\curvearrowright	lib/LaTeXML/Package/mathabx.sty.ltxml:483	
\dashV	symbol	math	U+2AE3	dashV		RELOP			lib/LaTeXML/Package/mathabx.sty.ltxml:120	
\degree	symbol	math	U+00B0	degree		RELOP		\degree	lib/LaTeXML/Package/mathabx.sty.ltxml:123	
\diagdown	symbol	math	U+2572	diagdown				\diagdown	lib/LaTeXML/Package/mathabx.sty.ltxml:473	
\diagup	symbol	math	U+2571	diagup				\diagup	lib/LaTeXML/Package/mathabx.sty.ltxml:472	
\diameter	symbol	math	U+2300	diameter					lib/LaTeXML/Package/mathabx.sty.ltxml:223	
\divdot	symbol	math	U+2A2A	divdot		MULOP			lib/LaTeXML/Package/mathabx.sty.ltxml:52	
\divideontimes	symbol	math	U+22C7	divideontimes		MULOP		\divideontimes	lib/LaTeXML/Package/mathabx.sty.ltxml:62	
\divides	symbol	math	U+2223	divides		RELOP			lib/LaTeXML/Package/mathabx.sty.ltxml:74	
\dlsh	symbol	math	U+21B2	dlsh		ARROW			lib/LaTeXML/Package/mathabx.sty.ltxml:476	
\dotdiv	symbol	math	U+2238	dotdiv		MULOP			lib/LaTeXML/Package/mathabx.sty.ltxml:50	
\doteqdot	symbol	math	U+2251	doteqdot	geometrically-equals	RELOP		\doteqdot	lib/LaTeXML/Package/mathabx.sty.ltxml:92	
\dotplus	symbol	math	U+2214	dotplus		ADDOP		\dotplus	lib/LaTeXML/Package/mathabx.sty.ltxml:49	
\dotseq	symbol	math		dotseq					lib/LaTeXML/Package/mathabx.sty.ltxml:93	Let alias of \doteqdot
\dottimes	symbol	math	U+2A30	dottimes		MULOP			lib/LaTeXML/Package/mathabx.sty.ltxml:51	
\doublebarwedge	symbol	math	U+2A5E	doublebarwedge		ADDOP		\doublebarwedge	lib/LaTeXML/Package/mathabx.sty.ltxml:249	
\doublecap	symbol	math	U+22D2	doublecap	double-intersection	ADDOP		\doublecap	lib/LaTeXML/Package/mathabx.sty.ltxml:251	
\doublecup	symbol	math	U+22D3	doublecup	double-union	ADDOP		\doublecup	lib/LaTeXML/Package/mathabx.sty.ltxml:252	
\downdownarrows	symbol	math	U+21CA	downdownarrows		ARROW		\downdownarrows	lib/LaTeXML/Package/mathabx.sty.ltxml:456	
\downdownharpoons	symbol	math	U+2965	downdownharpoons		ARROW			lib/LaTeXML/Package/mathabx.sty.ltxml:464	
\downharpoonleft	symbol	math	U+21C3	downharpoonleft		ARROW		\downharpoonleft	lib/LaTeXML/Package/mathabx.sty.ltxml:434	
\downharpoonright	symbol	math	U+21C2	downharpoonright		ARROW		\downharpoonright	lib/LaTeXML/Package/mathabx.sty.ltxml:437	
\downtouparrow	symbol	math	U+2B8D	downtouparrow		ARROW			lib/LaTeXML/Package/mathabx.sty.ltxml:496	
\downuparrows	symbol	math	U+21F5	downuparrows		ARROW			lib/LaTeXML/Package/mathabx.sty.ltxml:460	
\downupharpoons	symbol	math	U+296F	downupharpoons		ARROW			lib/LaTeXML/Package/mathabx.sty.ltxml:441	
\drsh	symbol	math	U+21B3	drsh		ARROW			lib/LaTeXML/Package/mathabx.sty.ltxml:477	
\eqcirc	symbol	math	U+2256	eqcirc		RELOP		\eqcirc	lib/LaTeXML/Package/mathabx.sty.ltxml:103	
\eqcolon	symbol	math	U+2255	eqcolon		RELOP		\eqcolon	lib/LaTeXML/Package/mathabx.sty.ltxml:98	
\eqslantgtr	symbol	math	U+2A96	eqslantgtr	greater-than-or-equals	RELOP		\eqslantgtr	lib/LaTeXML/Package/mathabx.sty.ltxml:356	
\eqslantless	symbol	math	U+2A95	eqslantless	less-than-or-equals	RELOP		\eqslantless	lib/LaTeXML/Package/mathabx.sty.ltxml:355	
\fallingdotseq	symbol	math	U+2252	fallingdotseq	approximately-equals-or-image-of	RELOP		\fallingdotseq	lib/LaTeXML/Package/mathabx.sty.ltxml:96	
\fourth	symbol	math	U+2057	fourth		RELOP			lib/LaTeXML/Package/mathabx.sty.ltxml:127	
\fullmoon	text	text	U+25CB	fullmoon					lib/LaTeXML/Package/mathabx.sty.ltxml:197	
\geqq	symbol	math	U+2267	geqq	greater-than-or-equals	RELOP		\geqq	lib/LaTeXML/Package/mathabx.sty.ltxml:348	
\ggcurly	symbol	math	U+2ABC	ggcurly	double-succeeds	RELOP			lib/LaTeXML/Package/mathabx.sty.ltxml:416	
\ggg	symbol	math	U+22D9	ggg	very-much-greater-than	RELOP		\ggg	lib/LaTeXML/Package/mathabx.sty.ltxml:380	
\gnapprox	symbol	math	U+2A8A	gnapprox	greater-than-and-not-approximately-equals	RELOP		\gnapprox	lib/LaTeXML/Package/mathabx.sty.ltxml:376	
\gneq	symbol	math	U+2A88	gneq	greater-than-and-not-equals	RELOP		\gneq	lib/LaTeXML/Package/mathabx.sty.ltxml:346	
\gneqq	symbol	math	U+2269	gneqq	greater-than-and-not-equals	RELOP		\gneqq	lib/LaTeXML/Package/mathabx.sty.ltxml:352	
\gnsim	symbol	math	U+22E7	gnsim	greater-than-and-not-equivalent-to	RELOP		\gnsim	lib/LaTeXML/Package/mathabx.sty.ltxml:370	
\gtrapprox	symbol	math	U+2A86	gtrapprox	greater-than-or-approximately-equals	RELOP		\gtrapprox	lib/LaTeXML/Package/mathabx.sty.ltxml:372	
\gtrdot	symbol	math	U+22D7	gtrdot		RELOP		\gtrdot	lib/LaTeXML/Package/mathabx.sty.ltxml:378	
\gtreqless	symbol	math	U+22DB	gtreqless	greater-than-or-equals-or-less-than	RELOP		\gtreqless	lib/LaTeXML/Package/mathabx.sty.ltxml:362	
\gtreqqless	symbol	math	U+2A8C	gtreqqless	greater-than-or-equals-or-less-than	RELOP		\gtreqqless	lib/LaTeXML/Package/mathabx.sty.ltxml:364	
\gtrless	symbol	math	U+2277	gtrless	greater-than-or-less-than	RELOP		\gtrless	lib/LaTeXML/Package/mathabx.sty.ltxml:360	
\gtrsim	symbol	math	U+2273	gtrsim	greater-than-or-equivalent-to	RELOP		\gtrsim	lib/LaTeXML/Package/mathabx.sty.ltxml:366	
\gvertneqq	symbol	math	U+2269	gvertneqq	greater-than-and-not-equals	RELOP		\gvertneqq	lib/LaTeXML/Package/mathabx.sty.ltxml:354	
\hash	symbol	math	U+0023	hash		RELOP			lib/LaTeXML/Package/mathabx.sty.ltxml:111	
\iiintop	symbol	math	U+222D	iiintop	triple-integral	INTOP		\iiint	lib/LaTeXML/Package/mathabx.sty.ltxml:547	
\iintop	symbol	math	U+222C	iintop	double-integral	INTOP		\iint	lib/LaTeXML/Package/mathabx.sty.ltxml:545	
\ldbrack	symbol	math	U+27E6	ldbrack		OPEN			lib/LaTeXML/Package/mathabx.sty.ltxml:668	
\leftbarharpoon	symbol	math	U+296A	leftbarharpoon		ARROW			lib/LaTeXML/Package/mathabx.sty.ltxml:465	
\leftleftarrows	symbol	math	U+21C7	leftleftarrows		ARROW		\leftleftarrows	lib/LaTeXML/Package/mathabx.sty.ltxml:453	
\leftleftharpoons	symbol	math	U+2962	leftleftharpoons		ARROW			lib/LaTeXML/Package/mathabx.sty.ltxml:461	
\leftmoon	text	text	U+263E	leftmoon					lib/LaTeXML/Package/mathabx.sty.ltxml:195	
\leftrightarrows	symbol	math	U+21C6	leftrightarrows		ARROW		\leftrightarrows	lib/LaTeXML/Package/mathabx.sty.ltxml:457	
\leftrightharpoon	symbol	math	U+294A	leftrightharpoon		ARROW			lib/LaTeXML/Package/mathabx.sty.ltxml:469	
\leftrightharpoons	symbol	math	U+21CB	leftrightharpoons		ARROW		\leftrightharpoons	lib/LaTeXML/Package/mathabx.sty.ltxml:438	
\leftrightsquigarrow	symbol	math	U+21AD	leftrightsquigarrow		ARROW		\leftrightsquigarrow	lib/LaTeXML/Package/mathabx.sty.ltxml:492	
\leftsquigarrow	symbol	math	U+21DC	leftsquigarrow		RELOP			lib/LaTeXML/Package/mathabx.sty.ltxml:490	
\leftthreetimes	symbol	math	U+22CB	leftthreetimes	left-semidirect-product	MULOP		\leftthreetimes	lib/LaTeXML/Package/mathabx.sty.ltxml:139	
\lefttorightarrow	symbol	math	U+2B8E	lefttorightarrow		ARROW			lib/LaTeXML/Package/mathabx.sty.ltxml:493	
\leqq	symbol	math	U+2266	leqq	less-than-or-equals	RELOP		\leqq	lib/LaTeXML/Package/mathabx.sty.ltxml:347	
\lessapprox	symbol	math	U+2A85	lessapprox	less-than-or-approximately-equals	RELOP		\lessapprox	lib/LaTeXML/Package/mathabx.sty.ltxml:371	
\lessdot	symbol	math	U+22D6	lessdot		RELOP		\lessdot	lib/LaTeXML/Package/mathabx.sty.ltxml:377	
\lesseqgtr	symbol	math	U+22DA	lesseqgtr	less-than-or-equals-or-greater-than	RELOP		\lesseqgtr	lib/LaTeXML/Package/mathabx.sty.ltxml:361	
\lesseqqgtr	symbol	math	U+2A8B	lesseqqgtr	less-than-or-equals-or-greater-than	RELOP		\lesseqqgtr	lib/LaTeXML/Package/mathabx.sty.ltxml:363	
\lessgtr	symbol	math	U+2276	lessgtr	less-than-or-greater-than	RELOP		\lessgtr	lib/LaTeXML/Package/mathabx.sty.ltxml:359	
\lesssim	symbol	math	U+2272	lesssim	less-than-or-similar-to	RELOP		\lesssim	lib/LaTeXML/Package/mathabx.sty.ltxml:365	
\llcorner	symbol	math	U+231E	llcorner				\llcorner	lib/LaTeXML/Package/mathabx.sty.ltxml:179	
\llcurly	symbol	math	U+2ABB	llcurly	double-precedes	RELOP			lib/LaTeXML/Package/mathabx.sty.ltxml:415	
\lll	symbol	math	U+22D8	lll	very-much-less-than	RELOP		\lll	lib/LaTeXML/Package/mathabx.sty.ltxml:379	
\lnapprox	symbol	math	U+2A89	lnapprox	less-than-and-not-approximately-equals	RELOP		\lnapprox	lib/LaTeXML/Package/mathabx.sty.ltxml:375	
\lneq	symbol	math	U+2A87	lneq	less-than-and-not-equals	RELOP		\lneq	lib/LaTeXML/Package/mathabx.sty.ltxml:345	
\lneqq	symbol	math	U+2268	lneqq	less-than-and-not-equals	RELOP		\lneqq	lib/LaTeXML/Package/mathabx.sty.ltxml:351	
\lnsim	symbol	math	U+22E6	lnsim	less-than-and-not-equivalent-to	RELOP		\lnsim	lib/LaTeXML/Package/mathabx.sty.ltxml:369	
\looparrowleft	symbol	math	U+21AB	looparrowleft		ARROW		\looparrowleft	lib/LaTeXML/Package/mathabx.sty.ltxml:478	
\looparrowright	symbol	math	U+21AC	looparrowright		ARROW		\looparrowright	lib/LaTeXML/Package/mathabx.sty.ltxml:479	
\lrcorner	symbol	math	U+231F	lrcorner				\lrcorner	lib/LaTeXML/Package/mathabx.sty.ltxml:180	
\ltimes	symbol	math	U+22C9	ltimes	left-normal-factor-semidirect-product	MULOP		\ltimes	lib/LaTeXML/Package/mathabx.sty.ltxml:37	
\lvertneqq	symbol	math	U+2268	lvertneqq	less-than-and-not-equals	RELOP		\lvertneqq	lib/LaTeXML/Package/mathabx.sty.ltxml:353	
\mapsfromchar	symbol	math	U+007C	mapsfromchar		RELOP		\textbar	lib/LaTeXML/Package/mathabx.sty.ltxml:429	
\measuredangle	symbol	math	U+2221	measuredangle				\measuredangle	lib/LaTeXML/Package/mathabx.sty.ltxml:162	
