command	kind	mode	codepoint	name	meaning	role	font	katex	source	note
\Sparkle	text	text	U+2747	Sparkle					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 93 (octal '135)
\SparkleBold	text	text	U+2748	SparkleBold					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 92 (octal '134)
\Square	text	text	U+25A1	Square					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 102 (octal '146)
\SquareCastShadowBottomRight	text	text	U+2751	SquareCastShadowBottomRight					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 107 (octal '153)
\SquareCastShadowTopLeft	text	text	U+2750	SquareCastShadowTopLeft					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 109 (octal '155)
\SquareCastShadowTopRight	text	text	U+2752	SquareCastShadowTopRight					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 108 (octal '154)
\SquareShadowBottomRight	text	text	U+274F	SquareShadowBottomRight					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 104 (octal '150)
\SquareShadowTopLeft	text	text	U+2750	SquareShadowTopLeft					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 106 (octal '152)
\SquareShadowTopRight	text	text	U+2750	SquareShadowTopRight					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 105 (octal '151)
\SquareSolid	text	text	U+25A0	SquareSolid				\blacksquare	tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 103 (octal '147)
\SunshineOpenCircled	text	text	U+2742	SunshineOpenCircled					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 84 (octal '124)
\Tape	text	text	U+2707	Tape					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 10 (octal '012)
\TriangleDown	text	text	U+25BC	TriangleDown				\blacktriangledown	tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 111 (octal '157)
\TriangleUp	text	text	U+25B2	TriangleUp				\blacktriangle	tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 110 (octal '156)
\TwelweStar	text	text	U+2739	TwelweStar					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 74 (octal '112)
\XSolid	text	text	U+2715	XSolid					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 35 (octal '043)
\XSolidBold	text	text	U+2716	XSolidBold					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 36 (octal '044)
\XSolidBrush	text	text	U+2717	XSolidBrush					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 37 (octal '045)
