command	kind	mode	codepoint	name	meaning	role	font	katex	source	note
\rightarrowtriangle	symbol	math	U+21FE	rightarrowtriangle		ARROW			lib/LaTeXML/Package/stmaryrd.sty.ltxml:182	
\rightslice	symbol	math	U+2AA7	rightslice		RELOP			lib/LaTeXML/Package/stmaryrd.sty.ltxml:65	
\rrbracket	symbol	math	U+27E7	rrbracket		CLOSE		\rrbracket	lib/LaTeXML/Package/stmaryrd.sty.ltxml:213	
\rrceil	symbol	math	U+005C U+006C U+0078 U+0040 U+006B U+006C U+0075 U+0064 U+0067 U+0065 U+0064 U+007B U+005C U+0072 U+0063 U+0065 U+0069 U+006C U+005C U+006C U+0078 U+0040 U+0074 U+0077 U+0065 U+0061 U+006B U+0065 U+0064 U+007B U+0077 U+0069 U+0064 U+0074 U+0068 U+003D U+0030 U+0070 U+0074 U+002C U+0078 U+006F U+0066 U+0066 U+0073 U+0065 U+0074 U+003D U+002D U+0030 U+002E U+0033 U+0065 U+006D U+007D U+007B U+005C U+0072 U+0063 U+0065 U+0069 U+006C U+007D U+007D	rrceil		CLOSE			lib/LaTeXML/Package/stmaryrd.sty.ltxml:201	
\rrfloor	symbol	math	U+005C U+006C U+0078 U+0040 U+006B U+006C U+0075 U+0064 U+0067 U+0065 U+0064 U+007B U+005C U+0072 U+0066 U+006C U+006F U+006F U+0072 U+005C U+006C U+0078 U+0040 U+0074 U+0077 U+0065 U+0061 U+006B U+0065 U+0064 U+007B U+0077 U+0069 U+0064 U+0074 U+0068 U+003D U+0030 U+0070 U+0074 U+002C U+0078 U+006F U+0066 U+0066 U+0073 U+0065 U+0074 U+003D U+002D U+0030 U+002E U+0033 U+0031 U+0065 U+006D U+007D U+007B U+005C U+0072 U+0066 U+006C U+006F U+006F U+0072 U+007D U+007D	rrfloor		CLOSE			lib/LaTeXML/Package/stmaryrd.sty.ltxml:207	
\rrparenthesis	symbol	math	U+2988	rrparenthesis		ARROW			lib/LaTeXML/Package/stmaryrd.sty.ltxml:183	
\rrparenthesis	symbol	math	U+2988	rrparenthesis		CLOSE			lib/LaTeXML/Package/stmaryrd.sty.ltxml:211	
\shortdownarrow	symbol	math	U+2193	shortdownarrow		ARROW		\downarrow	lib/LaTeXML/Package/stmaryrd.sty.ltxml:184	
\shortleftarrow	symbol	math	U+2190	shortleftarrow		ARROW			lib/LaTeXML/Package/stmaryrd.sty.ltxml:185	
\shortrightarrow	symbol	math	U+2192	shortrightarrow		ARROW			lib/LaTeXML/Package/stmaryrd.sty.ltxml:186	
\shortuparrow	symbol	math	U+2191	shortuparrow		ARROW		\uparrow	lib/LaTeXML/Package/stmaryrd.sty.ltxml:187	
\sslash	symbol	math	U+2AFD	sslash		RELOP			lib/LaTeXML/Package/stmaryrd.sty.ltxml:66	
\subsetplus	symbol	math	U+005C U+006C U+0078 U+0040 U+006B U+006C U+0075 U+0064 U+0067 U+0065 U+0064 U+007B U+005C U+0073 U+0075 U+0062 U+0073 U+0065 U+0074 U+007B U+005C U+0073 U+0063 U+0072 U+0069 U+0070 U+0074 U+0073 U+0063 U+0072 U+0069 U+0070 U+0074 U+0073 U+0074 U+0079 U+006C U+0065 U+005C U+006C U+0078 U+0040 U+0074 U+0077 U+0065 U+0061 U+006B U+0065 U+0064 U+007B U+0077 U+0069 U+0064 U+0074 U+0068 U+003D U+0030 U+0070 U+0074 U+002C U+0078 U+006F U+0066 U+0066 U+0073 U+0065 U+0074 U+003D U+002D U+0030 U+002E U+0038 U+0065 U+006D U+002C U+0079 U+006F U+0066 U+0066 U+0073 U+0065 U+0074 U+003D U+0030 U+002E U+0033 U+0065 U+0078 U+007D U+007B U+002B U+007D U+007D U+007D	subsetplus	subset-plus	RELOP			lib/LaTeXML/Package/stmaryrd.sty.ltxml:128	
\subsetpluseq	symbol	math	U+005C U+006C U+0078 U+0040 U+006B U+006C U+0075 U+0064 U+0067 U+0065 U+0064 U+007B U+005C U+0073 U+0075 U+0062 U+0073 U+0065 U+0074 U+0065 U+0071 U+007B U+005C U+0073 U+0063 U+0072 U+0069 U+0070 U+0074 U+0073 U+0063 U+0072 U+0069 U+0070 U+0074 U+0073 U+0074 U+0079 U+006C U+0065 U+005C U+006C U+0078 U+0040 U+0074 U+0077 U+0065 U+0061 U+006B U+0065 U+0064 U+007B U+0077 U+0069 U+0064 U+0074 U+0068 U+003D U+0030 U+0070 U+0074 U+002C U+0078 U+006F U+0066 U+0066 U+0073 U+0065 U+0074 U+003D U+002D U+0030 U+002E U+0038 U+0065 U+006D U+002C U+0079 U+006F U+0066 U+0066 U+0073 U+0065 U+0074 U+003D U+0030 U+002E U+0035 U+0065 U+0078 U+007D U+007B U+002B U+007D U+007D U+007D	subsetpluseq	subset-equals-plus	RELOP			lib/LaTeXML/Package/stmaryrd.sty.ltxml:132	
\supsetplus	symbol	math	U+005C U+006C U+0078 U+0040 U+006B U+006C U+0075 U+0064 U+0067 U+0065 U+0064 U+007B U+005C U+0073 U+0075 U+0070 U+0073 U+0065 U+0074 U+007B U+005C U+0073 U+0063 U+0072 U+0069 U+0070 U+0074 U+0073 U+0063 U+0072 U+0069 U+0070 U+0074 U+0073 U+0074 U+0079 U+006C U+0065 U+005C U+006C U+0078 U+0040 U+0074 U+0077 U+0065 U+0061 U+006B U+0065 U+0064 U+007B U+0077 U+0069 U+0064 U+0074 U+0068 U+003D U+0030 U+0070 U+0074 U+002C U+0078 U+006F U+0066 U+0066 U+0073 U+0065 U+0074 U+003D U+002D U+0031 U+0065 U+006D U+002C U+0079 U+006F U+0066 U+0066 U+0073 U+0065 U+0074 U+003D U+0030 U+002E U+0033 U+0065 U+0078 U+007D U+007B U+002B U+007D U+007D U+007D	supsetplus	superset-plus	RELOP			lib/LaTeXML/Package/stmaryrd.sty.ltxml:136	
\supsetpluseq	symbol	math	U+005C U+006C U+0078 U+0040 U+006B U+006C U+0075 U+0064 U+0067 U+0065 U+0064 U+007B U+005C U+0073 U+0075 U+0070 U+0073 U+0065 U+0074 U+0065 U+0071 U+007B U+005C U+0073 U+0063 U+0072 U+0069 U+0070 U+0074 U+0073 U+0063 U+0072 U+0069 U+0070 U+0074 U+0073 U+0074 U+0079 U+006C U+0065 U+005C U+006C U+0078 U+0040 U+0074 U+0077 U+0065 U+0061 U+006B U+0065 U+0064 U+007B U+0077 U+0069 U+0064 U+0074 U+0068 U+003D U+0030 U+0070 U+0074 U+002C U+0078 U+006F U+0066 U+0066 U+0073 U+0065 U+0074 U+003D U+002D U+0031 U+0065 U+006D U+002C U+0079 U+006F U+0066 U+0066 U+0073 U+0065 U+0074 U+003D U+0030 U+002E U+0035 U+0065 U+0078 U+007D U+007B U+002B U+007D U+007D U+007D	supsetpluseq	superset-equals-plus	RELOP			lib/LaTeXML/Package/stmaryrd.sty.ltxml:140	
\talloblong	symbol	math	U+2AFF	talloblong		RELOP			lib/LaTeXML/Package/stmaryrd.sty.ltxml:67	
\trianglelefteqslant	symbol	math	U+22B4	trianglelefteqslant		RELOP			lib/LaTeXML/Package/stmaryrd.sty.ltxml:160	
\trianglerighteqslant	symbol	math	U+22B5	trianglerighteqslant		RELOP			lib/LaTeXML/Package/stmaryrd.sty.ltxml:161	
\varbigcirc	symbol	math	U+25EF	varbigcirc		MULOP			lib/LaTeXML/Package/stmaryrd.sty.ltxml:68	
\varcopyright	text	text	U+00A9	varcopyright					lib/LaTeXML/Package/stmaryrd.sty.ltxml:215	
\varcurlyvee	symbol	math	U+22CE	varcurlyvee		RELOP		\curlyvee	lib/LaTeXML/Package/stmaryrd.sty.ltxml:69	
\varcurlywedge	symbol	math	U+22CF	varcurlywedge		RELOP		\curlywedge	lib/LaTeXML/Package/stmaryrd.sty.ltxml:70	
\varoast	symbol	math	U+229B	varoast		MULOP		\circledast	lib/LaTeXML/Package/stmaryrd.sty.ltxml:71	
\varobar	symbol	math	U+29B6	varobar		RELOP			lib/LaTeXML/Package/stmaryrd.sty.ltxml:72	
\varobslash	symbol	math	U+29B8	varobslash		MULOP			lib/LaTeXML/Package/stmaryrd.sty.ltxml:73	
\varocircle	symbol	math	U+229A	varocircle		MULOP		\circledcirc	lib/LaTeXML/Package/stmaryrd.sty.ltxml:74	
\varodot	symbol	math	U+2299	varodot		MULOP		\odot	lib/LaTeXML/Package/stmaryrd.sty.ltxml:75	
\varogreaterthan	symbol	math	U+29C1	varogreaterthan		RELOP			lib/LaTeXML/Package/stmaryrd.sty.ltxml:76	
\varolessthan	symbol	math	U+29C0	varolessthan		RELOP			lib/LaTeXML/Package/stmaryrd.sty.ltxml:77	
\varominus	symbol	math	U+2296	varominus		ADDOP		\ominus	lib/LaTeXML/Package/stmaryrd.sty.ltxml:78	
\varoplus	symbol	math	U+2295	varoplus	additive-disjunction	ADDOP		\oplus	lib/LaTeXML/Package/stmaryrd.sty.ltxml:79	
\varoslash	symbol	math	U+2298	varoslash		RELOP		\oslash	lib/LaTeXML/Package/stmaryrd.sty.ltxml:81	
\varotimes	symbol	math	U+2297	varotimes	multiplicative-conjunction	MULOP		\otimes	lib/LaTeXML/Package/stmaryrd.sty.ltxml:82	
\varovee	symbol	math	U+2228 U+20DD	varovee		RELOP			lib/LaTeXML/Package/stmaryrd.sty.ltxml:84	
\varowedge	symbol	math	U+2227 U+20DD	varowedge		RELOP			lib/LaTeXML/Package/stmaryrd.sty.ltxml:85	
\vartimes	symbol	math	U+00D7	vartimes		MULOP		\times	lib/LaTeXML/Package/stmaryrd.sty.ltxml:86	
