command	kind	mode	codepoint	name	meaning	role	font	katex	source	note
\smiley	text	text	U+263A	smiley					lib/LaTeXML/Package/wasysym.sty.ltxml:81	
\sqsubset	symbol	math	U+228F	sqsubset				\sqsubset	lib/LaTeXML/Package/wasysym.sty.ltxml:31	
\sqsupset	symbol	math	U+2290	sqsupset				\sqsupset	lib/LaTeXML/Package/wasysym.sty.ltxml:32	
\sun	text	text	U+263C	sun					lib/LaTeXML/Package/wasysym.sty.ltxml:84	
\taurus	text	text	U+2649	taurus					lib/LaTeXML/Package/wasysym.sty.ltxml:154	
\text@circ	text	text	U+2218	text@circ				\circ	lib/LaTeXML/Package/wasysym.sty.ltxml:185	
\text@tilde	text	text	U+007E	text@tilde					lib/LaTeXML/Package/wasysym.sty.ltxml:184	
\thorn	text	text	U+00FE	thorn					lib/LaTeXML/Package/wasysym.sty.ltxml:130	
\twonotes	text	text	U+266B	twonotes					lib/LaTeXML/Package/wasysym.sty.ltxml:117	
\unlhd	symbol	math	U+22B4	unlhd				\unlhd	lib/LaTeXML/Package/wasysym.sty.ltxml:34	
\unrhd	symbol	math	U+22B5	unrhd				\unrhd	lib/LaTeXML/Package/wasysym.sty.ltxml:37	
\uranus	text	text	U+26E2	uranus					lib/LaTeXML/Package/wasysym.sty.ltxml:149	
\varangle	text	text	U+2222	varangle				\sphericalangle	lib/LaTeXML/Package/wasysym.sty.ltxml:78	
\varhexagon	text	text	U+2B21	varhexagon					lib/LaTeXML/Package/wasysym.sty.ltxml:102	
\varhexstar	text	text	U+26B9	varhexstar					lib/LaTeXML/Package/wasysym.sty.ltxml:109	
\varint	symbol	math		varint					lib/LaTeXML/Package/wasysym.sty.ltxml:49	Let alias of \int
\varoint	symbol	math		varoint					lib/LaTeXML/Package/wasysym.sty.ltxml:50	Let alias of \oint
\venus	text	text	U+2640	venus					lib/LaTeXML/Package/wasysym.sty.ltxml:144	
\vernal	text	text	U+2648	vernal					lib/LaTeXML/Package/wasysym.sty.ltxml:135	
\virgo	text	text	U+264D	virgo					lib/LaTeXML/Package/wasysym.sty.ltxml:158	
\wasylozenge	text	text	U+2311	wasylozenge					lib/LaTeXML/Package/wasysym.sty.ltxml:79	
\wasypropto	symbol	math	U+221D	wasypropto					lib/LaTeXML/Package/wasysym.sty.ltxml:41	
\wasytherefore	text	text	U+2234	wasytherefore				\therefore	lib/LaTeXML/Package/wasysym.sty.ltxml:90	
