command	kind	mode	codepoint	name	meaning	role	font	katex	source	note
\ast	symbol	math	U+2217	ast		MULOP		\ast	lib/LaTeXML/Engine/math_common.pool.ltxml:209	
\asymp	symbol	math	U+224D	asymp	asymptotically-equals	RELOP		\asymp	lib/LaTeXML/Engine/math_common.pool.ltxml:281	
\backslash	symbol	math	U+005C	backslash		MULOP		\backslash	lib/LaTeXML/Engine/math_common.pool.ltxml:97	
\beta	symbol	math	U+03B2	beta				\beta	lib/LaTeXML/Engine/math_common.pool.ltxml:22	
\bigcap	symbol	math	U+22C2	bigcap	intersection	SUMOP		\bigcap	lib/LaTeXML/Engine/math_common.pool.ltxml:157	
\bigcirc	symbol	math	U+25CB	bigcirc		MULOP		\bigcirc	lib/LaTeXML/Engine/math_common.pool.ltxml:245	
\bigcup	symbol	math	U+22C3	bigcup	union	SUMOP		\bigcup	lib/LaTeXML/Engine/math_common.pool.ltxml:162	
\bigodot	symbol	math	U+2A00	bigodot		SUMOP		\bigodot	lib/LaTeXML/Engine/math_common.pool.ltxml:182	
\bigoplus	symbol	math	U+2A01	bigoplus	direct-sum	SUMOP		\bigoplus	lib/LaTeXML/Engine/math_common.pool.ltxml:191	
\bigotimes	symbol	math	U+2A02	bigotimes	tensor-product	SUMOP		\bigotimes	lib/LaTeXML/Engine/math_common.pool.ltxml:186	
\bigsqcup	symbol	math	U+2A06	bigsqcup	square-union	SUMOP		\bigsqcup	lib/LaTeXML/Engine/math_common.pool.ltxml:167	
\bigtriangledown	symbol	math	U+25BD	bigtriangledown		ADDOP		\bigtriangledown	lib/LaTeXML/Engine/math_common.pool.ltxml:232	
\bigtriangleup	symbol	math	U+25B3	bigtriangleup		ADDOP		\bigtriangleup	lib/LaTeXML/Engine/math_common.pool.ltxml:231	
\biguplus	symbol	math	U+2A04	biguplus	symmetric-difference	SUMOP		\biguplus	lib/LaTeXML/Engine/math_common.pool.ltxml:196	
\bigvee	symbol	math	U+22C1	bigvee	or	SUMOP		\bigvee	lib/LaTeXML/Engine/math_common.pool.ltxml:172	
\bigwedge	symbol	math	U+22C0	bigwedge	and	SUMOP		\bigwedge	lib/LaTeXML/Engine/math_common.pool.ltxml:177	
\bmod	symbol	math	U+006D U+006F U+0064	bmod	modulo	MODIFIEROP		\bmod	lib/LaTeXML/Engine/math_common.pool.ltxml:778	
\bot	symbol	math	U+22A5	bot	bottom	ADDOP		\bot	lib/LaTeXML/Engine/math_common.pool.ltxml:83	
\bowtie	symbol	math	U+22C8	bowtie		RELOP		\bowtie	lib/LaTeXML/Engine/math_common.pool.ltxml:292	
\braceld	text	text	U+239D	braceld					lib/LaTeXML/Engine/latex_constructs.pool.ltxml:5431	
\bracelu	text	text	U+239B	bracelu					lib/LaTeXML/Engine/latex_constructs.pool.ltxml:5432	
\bracerd	text	text	U+23A0	bracerd					lib/LaTeXML/Engine/latex_constructs.pool.ltxml:5433	
\braceru	text	text	U+239E	braceru					lib/LaTeXML/Engine/latex_constructs.pool.ltxml:5434	
\bracevert	symbol	math	U+007C	bracevert		VERTBAR	bold	\textbar	lib/LaTeXML/Engine/math_common.pool.ltxml:579	
\bullet	symbol	math	U+2219	bullet		MULOP		\bullet	lib/LaTeXML/Engine/math_common.pool.ltxml:212	
\cap	symbol	math	U+2229	cap	intersection	ADDOP		\cap	lib/LaTeXML/Engine/math_common.pool.ltxml:217	
\cdot	symbol	math	U+22C5	cdot		MULOP		\cdot	lib/LaTeXML/Engine/math_common.pool.ltxml:213	
\cdotp	symbol	math	U+22C5	cdotp		MULOP		\cdotp	lib/LaTeXML/Engine/latex_constructs.pool.ltxml:5436	
\cdots	symbol	math	U+22EF	cdots		ID		\cdots	lib/LaTeXML/Engine/math_common.pool.ltxml:479	
\chi	symbol	math	U+03C7	chi				\chi	lib/LaTeXML/Engine/math_common.pool.ltxml:47	
\circ	symbol	math	U+2218	circ	compose	MULOP		\circ	lib/LaTeXML/Engine/math_common.pool.ltxml:211	
